====================================================================================================
分析结果：不包含 'idea_EU4'（无s）的 spriteType
总 spriteType 数: 1161
其中包含 'idea_EU4'(精确) 被排除: 397
不包含 'idea_EU4'(精确) 的: 1161

----------------------------------------------------------------------------------------------------
【第一部分】使用 ideas_EU4 路径 (包含 's') 的 sprite: 1147 个
----------------------------------------------------------------------------------------------------
    行号 | Name                                          | TextureFile
----------------------------------------------------------------------------------------------------
    51 | GFX_prov_modifier_bg_MP                       | gfx//interface//ideas_EU4//prov_modifier_bg_MP.dds
    59 | GFX_prov_modifier_bg_MP                       | gfx//interface//ideas_EU4//prov_modifier_bg_MP.dds
    67 | silk_city                                     | gfx//interface//ideas_EU4//silk_city.dds
    72 | Echeng                                        | gfx//interface//ideas_EU4//Echeng.dds
   106 | Damescrown                                    | gfx//interface//ideas_EU4//Damescrown.dds
   111 | Aramari                                       | gfx//interface//ideas_EU4//Aramari.dds
   116 | Silver_Dameria                                | gfx//interface//ideas_EU4//Silver_Dameria.dds
   152 | Dyes                                          | gfx//interface//ideas_EU4//Dyes.dds
   156 | Glass                                         | gfx//interface//ideas_EU4//Glass.dds
   160 | Spice                                         | gfx//interface//ideas_EU4//Spice.dds
   164 | Ivory                                         | gfx//interface//ideas_EU4//Ivory.dds
   168 | Grain                                         | gfx//interface//ideas_EU4//Grain.dds
   172 | Tobacco                                       | gfx//interface//ideas_EU4//Tobacco.dds
   176 | tea                                           | gfx//interface//ideas_EU4//tea.dds
   180 | cloth                                         | gfx//interface//ideas_EU4//cloth.dds
   184 | Yunbu_Silk                                    | gfx//interface//ideas_EU4//Yunbu_Silk.dds
   188 | qiwen                                         | gfx//interface//ideas_EU4//qiwen.dds
   192 | The_inclusive_anbenncoster                    | gfx//interface//ideas_EU4//The_inclusive_anbenncoster.dds
   196 | Jewel_of_Yanshen                              | gfx//interface//ideas_EU4//Jewel_of_Yanshen.dds
   200 | coffee                                        | gfx//interface//ideas_EU4//coffee.dds
   204 | Incense                                       | gfx//interface//ideas_EU4//Incense.dds
   208 | Wool                                          | gfx//interface//ideas_EU4//Wool.dds
   212 | Iron                                          | gfx//interface//ideas_EU4//Iron.dds
   216 | Glass                                         | gfx//interface//ideas_EU4//Glass.dds
   220 | Bridgewine_and_Boar                           | gfx//interface//ideas_EU4//Bridgewine_and_Boar.dds
   224 | elf_tea                                       | gfx//interface//ideas_EU4//elf_tea.dds
   228 | Milk_of_Minara                                | gfx//interface//ideas_EU4//Milk_of_Minara.dds
   232 | Rubies                                        | gfx//interface//ideas_EU4//Rubies.dds
   236 | elf_silk                                      | gfx//interface//ideas_EU4//elf_silk.dds
   240 | Magic_fortress                                | gfx//interface//ideas_EU4//Magic_fortress.dds
   244 | Ioriel                                        | gfx//interface//ideas_EU4//Ioriel.dds
   248 | Morganne                                      | gfx//interface//ideas_EU4//Morganne.dds
   252 | Naval_supplies                                | gfx//interface//ideas_EU4//Naval_supplies.dds
   256 | Gold_Trade                                    | gfx//interface//ideas_EU4//Gold_Trade.dds
   260 | Crossguard                                    | gfx//interface//ideas_EU4//Crossguard.dds
   264 | Seaforts_of_Damesear_Crossing                 | gfx//interface//ideas_EU4//Seaforts_of_Damesear_Crossing.dds
   268 | Moonsinger                                    | gfx//interface//ideas_EU4//Moonsinger.dds
   272 | Planetouched_Slave                            | gfx//interface//ideas_EU4//Planetouched_Slave.dds
   276 | Sugar                                         | gfx//interface//ideas_EU4//Sugar.dds
   280 | Mariuk                                        | gfx//interface//ideas_EU4//Mariuk.dds
   284 | Bitter_Gold                                   | gfx//interface//ideas_EU4//Bitter_Gold.dds
   288 | Spice_Melange                                 | gfx//interface//ideas_EU4//Spice_Melange.dds
   292 | paper                                         | gfx//interface//ideas_EU4//paper.dds
   296 | Plumwall                                      | gfx//interface//ideas_EU4//Plumwall.dds
   300 | The_Portnamm_Mint                             | gfx//interface//ideas_EU4//The_Portnamm_Mint.dds
   304 | Olaf_the_Salmon_Speaker                       | gfx//interface//ideas_EU4//Olaf_the_Salmon_Speaker.dds
   308 | furs                                          | gfx//interface//ideas_EU4//furs.dds
   312 | copper                                        | gfx//interface//ideas_EU4//copper.dds
   316 | beer                                          | gfx//interface//ideas_EU4//beer.dds
   320 | sausage                                       | gfx//interface//ideas_EU4//sausage.dds
